split;reason;text;value
11823;Time;"Afstemning

Det næste punkt på dagsordenen er:
3) 3. behandling af lovforslag nr. L 236:
Forslag til lov om nedsættelse af statstilskuddet til kommuner
som følge af indtægter fra parkering.
Af økonomi- og indenrigsministeren (Simon Emil Ammitzbøll-Bille).
(Fremsættelse 02.05.2018. 1. behandling 09.05.2018. Betænkning
29.05.2018. Ændringsforslag nr. 7 og 8 af 31.05.2018 uden for betænkningen af økonomi- og indenrigsministeren (Simon Emil Ammitzbøll-Bille). 2. behandling 01.06.2018. Lovforslaget optrykt efter
2. behandling. Tillægsbetænkning 01.06.2018).";Kl. 09:01
12393;Time;;Kl. 09:03
12421;title_name;":
Der stemmes om lovforslagets endelige vedtagelse.
Afstemningen er slut.

Forhandling

For stemte 64 (S, DF, EL, ALT og SF), imod stemte 33 (V, LA, RV
og KF), hverken for eller imod stemte 0.";Pia Kjærsgaard
12641;title_name;":
Er der nogen, der ønsker at udtale sig?
Da det ikke er tilfældet, er forhandlingen om ændringsforslagene
sluttet, og vi går til afstemning.

Forslaget er vedtaget og vil nu blive sendt til statsministeren.";Pia Kjærsgaard
12859;Time;Afstemning;Kl. 09:03
12898;title_name;":
Der stemmes om ændringsforslag nr. 1 af et mindretal (S), tiltrådt af
et mindretal (EL, RV, SF og ALT).
Afstemningen er slut.

4

Mandag den 4. juni 2018 (L 232)";Pia Kjærsgaard
13073;Time;"For stemte 49 (S, EL, Leif Mikkelsen (LA), ALT, RV og SF), imod
stemte 50 (DF, V, LA og KF), hverken for eller imod stemte 0.
Ændringsforslag nr. 1 er forkastet.

Afstemning

Der stemmes om ændringsforslag nr. 2 af et mindretal (S), tiltrådt af
et mindretal (EL, RV, SF og ALT).
Har alle stemt? Afstemningen er slut.";Kl. 09:06
13419;title_name;":
Der stemmes om lovforslagets endelige vedtagelse, og der kan stemmes.
Afstemningen slutter.

For stemte 48 (S, EL, ALT, RV og SF), imod stemte 50 (DF, V, LA
og KF), hverken for eller imod stemte 0.

For stemte 98 (S, DF, V, EL, LA, ALT, RV, SF og KF), imod stemte
0, hverken for eller imod stemte 0.

Ændringsforslag nr. 2 er forkastet.";Pia Kjærsgaard
13767;Time;"Lovforslaget er vedtaget og vil nu blive sendt til statsministeren.

Forhandling";Kl. 09:05
13876;title_name;":
Forhandlingerne drejer sig herefter om lovforslaget som helhed.
Er der nogen, der ønsker at udtale sig om lovforslaget?
Det er der ikke, og så går vi til afstemning.";Pia Kjærsgaard
14053;Time;"Afstemning

Det næste punkt på dagsordenen er:
5) 3. behandling af lovforslag nr. L 228:
Forslag til lov om projektering og anlæg af et vildsvinehegn
langs den dansk-tyske landegrænse.
Af miljø- og fødevareministeren (Esben Lunde Larsen).
(Fremsættelse 25.04.2018. 1. behandling 03.05.2018. Betænkning
23.05.2018. 2. behandling 31.05.2018. Lovforslaget optrykt efter 2.
behandling).";Kl. 09:05
14465;title_name;":
Der stemmes om lovforslagets endelige vedtagelse.
Afstemningen er slut.";Pia Kjærsgaard
14549;Time;"Forhandling
For stemte 50 (DF, V, LA og KF), imod stemte 48 (S, EL, ALT, RV
og SF), hverken for eller imod stemte 0.
Lovforslaget er vedtaget og vil nu blive sendt til statsministeren.";Kl. 09:07
14763;title_name;":
Der er ikke stillet ændringsforslag.
Er der nogen, der ønsker at udtale sig?
Da det ikke er tilfældet, går vi til afstemning.";Pia Kjærsgaard
14900;Time;"Afstemning
Det næste punkt på dagsordenen er:
4) 3. behandling af lovforslag nr. L 232:
Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats, lov om social service, lov om integration af udlændinge i
Danmark og forskellige andre love. (Mulighed for at udarbejde
en helhedsorienteret plan til borgere med komplekse og sammensatte problemer).
Af ministeren for offentlig innovation (Sophie Løhde).
(Fremsættelse 26.04.2018. 1. behandling 03.05.2018. Betænkning
29.05.2018. 2. behandling 01.06.2018. Lovforslaget optrykt efter 2.
behandling).";Kl. 09:07
15466;Time;Forhandling;Kl. 09:06
15506;title_name;":
Der er ikke stillet ændringsforslag.
Er der nogen, der ønsker at udtale sig?
Da det ikke er tilfældet, går vi til afstemning.";Pia Kjærsgaard
15661;title_name;":
Der stemmes om lovforslagets endelige vedtagelse, og der kan stemmes.
Afstemningen slutter.
For stemte 77 (S, DF, V, LA og KF), imod stemte 21 (EL, ALT, RV
og SF), hverken for eller imod stemte 0.
Lovforslaget er vedtaget og vil nu blive sendt til statsministeren.

Mandag den 4. juni 2018 (L 230)

Det næste punkt på dagsordenen er:
6) 3. behandling af lovforslag nr. L 229:
Forslag til lov om ændring af lov om hold af dyr, lov om fødevarer og lov om foderstoffer. (Strafskærpelse som led i indsatsen
mod afrikansk svinepest).
Af miljø- og fødevareministeren (Esben Lunde Larsen).
(Fremsættelse 25.04.2018. 1. behandling 03.05.2018. Betænkning
23.05.2018. 2. behandling 31.05.2018. Lovforslaget optrykt efter 2.
behandling).";Pia Kjærsgaard
16400;Time;Forhandling;Kl. 09:07
16440;title_name;":
Der er ikke stillet ændringsforslag.
Er der nogen, der ønsker at udtale sig?
Da det ikke er tilfældet, går vi til afstemning.

5

Lovforslaget er vedtaget og vil nu blive sendt til statsministeren.

Det næste punkt på dagsordenen er:
8) 3. behandling af lovforslag nr. L 225:
Forslag til lov om ændring af lov om danskuddannelse til voksne
udlændinge m.fl. (Indførelse af deltagerbetaling for danskuddannelse til udenlandske arbejdstagere, studerende m.v.).
Af udlændinge- og integrationsministeren (Inger Støjberg).
(Fremsættelse 25.04.2018. 1. behandling 08.05.2018. Betænkning
29.05.2018. 2. behandling 01.06.2018. Lovforslaget optrykt efter 2.
behandling).";Pia Kjærsgaard
17112;Time;;Kl. 09:09
17123;Time;Forhandling;Kl. 09:08
17163;title_name;":
Der er ikke stillet ændringsforslag.
Er der nogen, der ønsker at udtale sig?
Da det ikke er tilfældet, går vi til afstemning.

Afstemning";Pia Kjærsgaard
17329;title_name;":
Der stemmes om lovforslagets endelige vedtagelse.
Afstemningen er slut.";Pia Kjærsgaard
17413;Time;"For stemte 97 (S, DF, V, EL, LA, ALT, RV, SF og KF), imod stemte
0, hverken for eller imod stemte 0.
Lovforslaget er vedtaget og vil nu blive sendt til statsministeren.

Afstemning";Kl. 09:09
17622;title_name;":
Der stemmes om lovforslagets endelige vedtagelse.
Afstemningen er slut.
For stemte 76 (S, DF, V, LA og KF), imod stemte 21 (EL, ALT, RV
og SF), hverken for eller imod stemte 0.

Det næste punkt på dagsordenen er:
7) 3. behandling af lovforslag nr. L 230:
Forslag til lov om ændring af lov om ophavsret. (Gennemførelse
af Marrakeshdirektivet m.v.).
Af kulturministeren (Mette Bock).
(Fremsættelse 25.04.2018. 1. behandling 02.05.2018. Betænkning
30.05.2018. 2. behandling 01.06.2018. Lovforslaget optrykt efter 2.
behandling).";Pia Kjærsgaard
18159;Time;Forhandling;Kl. 09:08
18199;title_name;":
Der er ikke stillet ændringsforslag.
Er der nogen, der ønsker at udtale sig?
Da det ikke er tilfældet, går vi til afstemning.

Lovforslaget er vedtaget og vil nu blive sendt til statsministeren.

Det næste punkt på dagsordenen er:
9) 3. behandling af lovforslag nr. L 231:
Forslag til lov om ændring af udlændingeloven. (Reform af reglerne om ægtefællesammenføring med nyt integrationskrav i stedet for tilknytningskravet, skærpet boligkrav m.v.).
Af udlændinge- og integrationsministeren (Inger Støjberg).
(Fremsættelse 26.04.2018. 1. behandling 08.05.2018. Betænkning
29.05.2018. Ændringsforslag nr. 22 af 31.05.2018 uden for betænkningen af udlændinge- og integrationsministeren (Inger Støjberg). 2.
behandling 01.06.2018. Lovforslaget optrykt efter 2. behandling).";Pia Kjærsgaard
18979;Time;;Kl. 09:10
18990;Time;"Forhandling
Afstemning";Kl. 09:08
19041;title_name;":
Der stemmes om lovforslagets endelige vedtagelse.
Afstemningen er slut.
For stemte 97 (S, DF, V, EL, LA, ALT, RV, SF og KF), imod stemte
0, hverken for eller imod stemte 0.";Pia Kjærsgaard
19243;title_name;":
Der er ikke stillet ændringsforslag.
Er der nogen, der ønsker at udtale sig?
Da det ikke er tilfældet, går vi til afstemning.

6

Mandag den 4. juni 2018 (L 239)";Pia Kjærsgaard
19418;Time;"Afstemningen er slut.
For stemte 51 (DF, V, LA og KF), imod stemte 20 (EL, ALT, RV og
SF), hverken for eller imod stemte 27 (S).

Afstemning";Kl. 09:10
19587;title_name;":
Der stemmes om lovforslagets endelige vedtagelse.
Afstemningen er slut.

Lovforslaget er vedtaget og vil nu blive sendt til statsministeren.

For stemte 76 (S, DF, V, LA og KF), imod stemte 18 (EL, ALT og
RV), hverken for eller imod stemte 3 (SF).
Lovforslaget er vedtaget og vil nu blive sendt til statsministeren.

Det næste punkt på dagsordenen er:
10) 3. behandling af lovforslag nr. L 239:
Forslag til lov om ændring af lov om aktiv socialpolitik, lov om
Udbetaling Danmark og udlændingeloven. (Indførelse af beskæftigelseskrav for ret til uddannelses- og kontanthjælp og forlængelse af opholdskravet samt ophævelse af bestemmelsen om
opholdstilladelse på baggrund af arbejdsmarkedstilknytning).
Af udlændinge- og integrationsministeren (Inger Støjberg).
(Fremsættelse 04.05.2018. 1. behandling 08.05.2018. Betænkning
29.05.2018. 2. behandling 01.06.2018. Ændringsforslag nr. 1-4 af
01.06.2018 til 3. behandling af udlændinge- og integrationsministeren (Inger Støjberg)).";Pia Kjærsgaard
20575;Time;"Det næste punkt på dagsordenen er:
11) 3. behandling af lovforslag nr. L 189:
Forslag til lov om ændring af udlændingeloven. (Justering af
kravene i beløbsordningen).
Af Martin Henriksen (DF) m.fl.
(Fremsættelse 20.03.2018. 1. behandling 08.05.2018. Betænkning
29.05.2018. 2. behandling 01.06.2018).";Kl. 09:11
20886;Time;Forhandling;Kl. 09:12
20926;title_name;":
Der er ikke stillet ændringsforslag.
Er der nogen, der ønsker at udtale sig?
Da det ikke er tilfældet, går vi til afstemning.";Pia Kjærsgaard
21063;Time;Afstemning;Kl. 09:12
21102;title_name;":
Der stemmes om lovforslagets endelige vedtagelse.
Afstemningen er slut.

Forhandling";Pia Kjærsgaard
21215;title_name;":
Forhandlingen drejer sig i første omgang om de stillede ændringsforslag.
Er der nogen, der ønsker at udtale sig?
Da det ikke er tilfældet, er forhandlingen om ændringsforslagene
sluttet, og vi går til afstemning.

For stemte 31 (DF og EL), imod stemte 65 (S, V, LA, ALT, RV og
KF), hverken for eller imod stemte 3 (SF).
Lovforslaget er forkastet.";Pia Kjærsgaard
21574;Time;Afstemning;Kl. 09:11
21613;title_name;":
Hvis ikke afstemning begæres, betragter jeg ændringsforslag nr. 1-4,
af udlændinge- og integrationsministeren, som vedtaget.
Det er vedtaget.";Pia Kjærsgaard
21766;Time;"Det næste punkt på dagsordenen er:
12) 3. behandling af lovforslag nr. L 215:
Forslag til lov om ændring af udlændingeloven, ferieloven og lov
om danskuddannelse til voksne udlændinge m.fl. (Afskaffelse af
au pair-ordningen).
Af Martin Henriksen (DF) og Karsten Hønge (SF) m.fl.
(Fremsættelse 23.03.2018. 1. behandling 08.05.2018. Betænkning
29.05.2018. 2. behandling 01.06.2018).

Forhandling";Kl. 09:11
22172;Time;;Kl. 09:13
22200;title_name;":
Forhandlingerne drejer sig derefter om lovforslaget som helhed.
Er der nogen, der ønsker at udtale sig om lovforslaget?
Da det ikke er tilfældet, går vi til afstemning.";Pia Kjærsgaard
22380;Time;Afstemning;Kl. 09:11
22419;title_name;":
Der stemmes om lovforslagets endelige vedtagelse.

Forhandling";Pia Kjærsgaard
22510;title_name;":
Der er ikke stillet ændringsforslag.
Er der nogen, der ønsker at udtale sig?
Da det ikke er tilfældet, går vi til afstemning.

Mandag den 4. juni 2018 (B 146)";Pia Kjærsgaard
22682;Time;;Kl. 09:16
22693;Time;Afstemning;Kl. 09:13
22732;title_name;":
Der stemmes om lovforslagets endelige vedtagelse.
Afstemningen er slut.
For stemte 33 (DF, EL og SF), imod stemte 62 (S, V, LA, RV, KF
og 1 SF (ved en fejl), hverken for eller imod stemte 4 (ALT).
Lovforslaget er forkastet.

7";Pia Kjærsgaard
22978;name_party;":
Tak. Jeg kunne også gå op og holde den tale, som jeg holdt om det
her emne, da vi behandlede det her første gang. Det tror jeg vil kede
forsamlingen lidt, så jeg vil egentlig bare lige høre ordføreren, om
han kan bekræfte, at vi faktisk landede en rigtig, rigtig fin beretning,
hvor vi bl.a. slog det meget klart fast, at vi er enige i hensigten med
en indsats mod genopdragelsesrejser, og at der jo rent faktisk kommer lovgivning på det her område i den næste samling. Derfor forstår jeg ikke helt behovet for at skulle behandle det her igen foran
hele forsamlingen.";Marcus Knuth
23557;Time;;Kl. 09:16
23585;title_name;":
Værsgo.";Pia Kjærsgaard
23604;Time;"Det næste punkt på dagsordenen er:
13) 1. (eneste) behandling af beslutningsforslag nr. B 146:
Forslag til folketingsbeslutning om adgang til at inddrage forældremyndighedsindehavers opholdstilladelse, hvis vedkommende
sender sit barn på genopdragelsesrejse i udlandet.
Af Martin Henriksen (DF) m.fl.
(Fremsættelse 17.05.2018. Betænkning 29.05.2018).";Kl. 09:16
23966;Time;;Kl. 09:14
23989;name_party;":
Tak til hr. Marcus Knuth. Hvis det er, at regeringspartierne og Dansk
Folkeparti er enige, bør man jo i fællesskab kunne stemme for beslutningsforslaget. Beslutningsforslaget handler om, at hvis forældre
sender deres børn af sted på en genopdragelsesrejse, skal man tage
opholdstilladelsen fra forældrene, hvis der overhovedet er mulighed
for det. Og hvis det er, at man er enig med Dansk Folkeparti i det,
bør man jo stemme for og ikke stemme imod.";Martin Henriksen
24450;Time;Forhandling;Kl. 09:17
24491;title_name;":
Hr. Marcus Knuth.";Pia Kjærsgaard
24538;title_name;":
Værsgo til hr. Martin Henriksen, Dansk Folkeparti.";Pia Kjærsgaard
24601;Time;;Kl. 09:17
24611;Time;(Ordfører);Kl. 09:14
24645;name_party;":
Tak for det. Jeg vil bare kort redegøre for, hvorfor vi har fremsat det
her forslag fra Dansk Folkepartis side. Det har vi, fordi vi jo synes,
det er en god idé, at man, hvis man som forælder sender sit barn eller
sine børn af sted på en genopdragelsesrejse, så også får inddraget opholdstilladelsen, hvis der er mulighed for det, og så bliver man sendt
samme vej.
Det var jo et forslag, som vi oprindelig havde fremsat i fællesskab med Socialdemokratiet og SF. Så skete der det pudsige under
behandlingen af forslaget i Udlændinge- og Integrationsudvalget, at
ministeren havde held til at overtale Socialdemokratiet og SF til ikke
at stemme for den her stramning. Og det er jo ikke et samarbejde,
som vi bryder os specielt meget om. Men så tænkte vi, at vi fra
Dansk Folkepartis side selvfølgelig ville genfremsætte forslaget,
som det var, også da Socialdemokratiet var med til at fremsætte det
første gang, og da SF var med til at fremsætte det første gang. Så det
her skal man mere se som en slags service til medlemmerne af den
socialdemokratiske folketingsgruppe og medlemmerne af Socialistisk Folkepartis folketingsgruppe, for I skal sådan set bare rykke jeres finger lidt længere ned på displayet, og så har I mulighed for at
stemme ja til jeres eget beslutningsforslag. Så det vil jeg da opfordre
til at man gør.
Vi stemmer i hvert fald ja, som vi også gjorde første gang, vi behandlede det. Det var det.";Martin Henriksen
26069;Time;;Kl. 09:15
26097;title_name;":
Tak for det. Der er et par korte bemærkninger. Og selv om det er den
sidste dag, skal vi alligevel overholde forretningsordenen og ikke
komme med direkte tiltale. Værsgo, hr. Marcus Knuth, Venstre.";Pia Kjærsgaard
