split;reason;text;value
16129;Time;;Kl. 13:07
16171;title_name;":
Hr. Lars Løkke Rasmussen vil gerne være i en position, hvor han
kan svare på spørgsmål, men hr. Lars Løkke Rasmussen er opposi‐
tionens leder, og hr. Lars Løkke Rasmussen bør jo egentlig bare
kunne svare på det enkle spørgsmål: Hvordan skal eksperimentet
med nulvækst udmøntes i de næste år frem mod 2020? Det er et
fuldstændig enkelt spørgsmål, som kræver et enkelt svar. Hvorfor
kan vi ikke få svar på, hvordan den offentlige sektor skal indrettes,
når man skal have nulvækst? Det er det, hr. Lars Løkke Rasmussen
siger han gerne vil være i stand til at svare på. Jeg tror også, der er
rigtig mange danskere, som ville ønske, at hr. Lars Løkke Rasmus‐
sen var i stand til at svare på det.
I forhold til det konkrete spørgsmål er det jo fuldstændig rigtigt,
at der blev iværksat en meget stor tilpasning af økonomien, efter at
hr. Lars Løkke Rasmussen havde været statsminister. Der var nemlig
en del år, hvor man ikke havde styr på budgetterne. Budgetterne
skred år for år, og noget af det nye i dansk politik er jo netop, at vi
overholder budgetterne. Der skal ikke lægges skjul på, at kommu‐
nerne har gennemført en stor tilpasning af økonomien. Hvis vi bare
kigger på nogle af tallene – og jeg forstår egentlig ikke, at hr. Lars
Løkke Rasmussen er så stolt af de tal – så kan vi se, at overforbruget
kulminerede i 2009, hvor der blev brugt 5 mia. kr. for meget i for‐
hold til budgetterne. Det er en meget stor understregning af, at hr.
Lars Løkke Rasmussen var ude af stand til at drive en regering, så
man overholdt budgetterne. Derfor har der siden været en tilpasning
af økonomien, det anerkender jeg fuldstændig. Sådan er det jo, når
man skal rydde op efter en borgerlig regering, når man skal have styr
på økonomien igen.";Helle Thorning-Schmidt
17915;Time;"Formanden:
Hr. Lars Løkke Rasmussen.";Kl. 13:09
17963;Time;;Kl. 13:09
17989;name_party;":
Jeg fik ikke rigtig noget svar på, hvor mange færre offentligt ansatte
der er. Der er 13.752 færre offentligt ansatte i dag, end da jeg var
statsminister. Det går jeg da ud fra at statsministeren kan bekræfte.
Apropos oprydning minder jeg bare for historieskrivningens
skyld om, at bare i den lille periode, hvor jeg var statsminister, tog vi
tre initiativer til at sikre en bedre budgetopfyldelse i kommunerne.
Ikke en eneste gang bidrog Socialdemokratiet til at tage et medan‐
svar for de opstramninger; tværtimod, da vi forsøgte at holde de of‐
fentlige lønninger under kontrol, gik statsministeren i sin egenskab
af formand for Socialdemokratiet rundt ude på Slotspladsen og de‐
monstrerede for, at vi skulle lade lønningerne stige mere.
Derfor klinger det jo hult, at vi nu skal mødes af det her skræm‐
mebillede. Der skal være færre ansatte i kommunerne, hvis jeg får
regeringsansvaret, siger statsministeren – og det bekymrer åbenbart.
Så vil jeg bare spørge: Hvor mange færre eller flere kommunalt an‐
satte er der i dag end før regeringsskiftet?";Lars Løkke Rasmussen
19055;Time;"Formanden:
Statsministeren.";Kl. 13:10
19094;Time;;Kl. 13:10
19136;title_name;":
Jamen jeg lægger ikke skjul på, at der har været gennemført en til‐
pasning af økonomien, for det var jo nødvendigt efter den tid, hvor
hr. Lars Løkke Rasmussen var statsminister, at få styr på økonomien
igen. Kan Lars Løkke Rasmussen ikke også bekræfte, at dengang
han selv var statsminister, og også, da Anders Fogh Rasmussen var

statsminister, er det faktisk vanskeligt at finde et eneste år, hvor man
havde styr på budgetterne; hvor man ikke overskred budgetterne?
Det anerkender jeg fuldstændig, altså at vi har fået styr på tingene.
Vi har nu en situation i Danmark, hvor man ikke overskrider budget‐
terne, og det har også medført tilpasninger i kommunerne. Men at si‐
ge, at vi ikke fremadrettet har flere penge til den offentlige sektor, er
jo ganske enkelt forkert.
Nu siger hr. Lars Løkke Rasmussen, at vi ikke skal tale om forti‐
den, og det kan jeg godt forstå man ikke vil, for det er noget værre
noget, og der kunne man ikke finde ud af at overholde budgetterne.
Hvis vi bare taler om fremtiden, vil hr. Lars Løkke Rasmussen så ik‐
ke give mig ret i, at når man hvert år har 3 mia. kr. mere til den of‐
fentlige service, så kan man få mere offentlig service, end hvis man
ikke havde haft 3 mia. kr.?";Helle Thorning-Schmidt
20363;Time;"Formanden:
Hr. Lars Løkke Rasmussen.";Kl. 13:11
20411;Time;;Kl. 13:11
20437;name_party;":
Det sidste kommer jo helt an på, hvordan man bruger pengene, altså.
Regeringen har f.eks. valgt at fordyre vores asyl- og udlændingesy‐
stem med en milliard kroner; dem kunne man også have valgt at bru‐
ge på noget andet. Hvis man ser på de samlede følgeomkostninger
ved den flygtningetilstrømning, der har været – flere mennesker, der
er kommet på kontanthjælp m.v. – så løber det vel op i 9 mia. kr., og
derfor er det jo spørgsmålet om at prioritere.
Jeg kan så oplyse, at der er 12.600 færre medarbejdere i kommu‐
nerne i dag, i forhold til før, statsministeren blev statsminister. Jeg
synes bare, det er vigtigt at få de her tal frem, fordi nu kan jeg se på
nogle af de annoncer, at der skal fyres pædagoger, hvis jeg får an‐
svaret. Kunne statsministeren måske så – nu bevæger vi os ned i
mindre tal, trods alt – oplyse, hvor mange flere eller færre pædago‐
ger, der er i Danmark, i forhold til den dag, statsministeren blev
statsminister?";Lars Løkke Rasmussen
21393;Time;"Formanden:
Statsministeren.";Kl. 13:12
21432;Time;;Kl. 13:12
21474;title_name;":
Kan hr. Lars Løkke Rasmussen ikke oplyse, hvordan man skal få
flere pædagoger i den offentlige sektor, når man har nulvækst? Kan
vi ikke få svar på det? For der er jo ikke nogen tvivl om, at vi har
brugt flere penge i den offentlige sektor, end hr. Lars Løkke Ras‐
mussen ville have gjort. Det, der står og svæver i Danmark, er jo ik‐
ke, hvad regeringen ønsker – vi ønsker fremadrettet at bruge rundt
regnet 3 mia. kr. ekstra i gennemsnit om året på den offentlige sek‐
tor. Det er ikke guld og grønne skove. Men kunne hr. Lars Løkke
Rasmussen ikke svare på, hvad man kan få for 0 kr. år efter år efter
år?
Jeg vil gerne sige til dem, som er så glade for, at jeg skal svare, at
jeg svarer gerne. Det er jo rigtigt, at der er sket en tilpasning af øko‐
nomien, efter at vi har fået ansvaret. Vi overtog et land i krisetid. Vi
overtog et land, hvor man havde forsøgt at rydde lidt op efter sig
selv, men hvor der var krise. Siden da har vi brugt rigtig meget tid
og energi – det gør vi gerne – på at rydde op efter en borgerlig rege‐
ring. Men det, vi ikke har brug for nu, er nye eksperimenter med en
borgerlig politik med et underligt miks af nulvækst og tvivlsomme
skattelettelser.

Tirsdag den 19. maj 2015 (US 82)";Helle Thorning-Schmidt
22705;Time;;Kl. 13:16
22716;Time;"Formanden:
Så går vi til runde nr. 2 mellem statsministeren og hr. Lars Løkke
Rasmussen. Hr. Lars Løkke Rasmussen.";Kl. 13:13
22842;Time;Spm. nr. US 82;Kl. 13:13
22883;name_party;":
Jamen, altså, de der penge, man har brugt, må man jo have brugt for‐
kert i forhold til de prioriteter, man har, fordi man kan forstå, at al‐
tings omdrejningspunkt er, hvor mange offentligt ansatte der skal
være. Og man har altså leveret 13.752 færre i det hele; 12.600 færre i
kommunerne, og der er i dag 3.090 færre pædagoger end dengang,
statsministeren gik til valg på flotte slogans om, at nu skulle der væ‐
re to lærere i alle klasselokaler, kommunerne skulle vokse, fædrene
skulle på orlov, og hvad ved jeg.
Det kan godt være, at det her er lidt trivielt, men, altså, jeg inte‐
resserer mig bare lidt for at få svar på de spørgsmål, jeg stiller. Jeg
tilbyder mig i øvrigt gerne til en duel med statsministeren hvilken
dag, det skal være, og i hvilket medie, statsministeren foretrækker,
hvis vi alligevel ikke skal have folketingsvalgkamp. Jeg vil meget
gerne i diskussion med statsministeren – også om den rolle, Social‐
demokratiet havde, den lidt tvivlsomme rolle, Socialdemokratiet
havde i de sidste år, inden regeringsmagten skiftede, hvor det jo
kneb med at tage ansvar. Men det må blive en anden dag, fordi i dag
er vi til spørgetime med statsministeren.
Noget af det, jeg kan se rundt omkring på disse skræmmekam‐
pagneannoncer, er, at hvis vi får magt, som vi har agt, så kommer
der færre politifolk på gaderne. Og derfor vil jeg gerne spørge: Er
der flere eller færre ansatte i politiet i dag, end da statsministeren
blev statsminister? Og hvor mange flere eller færre ansatte er der i
politiet i dag?";Lars Løkke Rasmussen
24414;Time;"Formanden:
Statsministeren.";Kl. 13:15
24453;Time;;Kl. 13:15
24495;title_name;":
Hr. Lars Løkke Rasmussen vil gerne diskutere fortiden og fremtiden
på samme tid. Jeg benægter ikke, at man brugte for mange penge,
dengang hr. Lars Løkke Rasmussen var statsminister. Man havde for
høje udgifter, og derfor er det meget muligt, at der var flere ansatte
dengang. Men det ændrer jo ikke ved, at vores opgave blev at rydde
op efter hr. Lars Løkke Rasmussen, og min appel i dag til vælgerne
og til danskerne i det hele taget er: Lad nu være, at vi skal rydde op
en gang til efter en borgerlig regering, det har været svært nok, så
lad nu være. Og derfor skylder hr. Lars Løkke Rasmussen jo stadig
svar på en kampagne, som åbenbart har været meget traumatisk for
ham. Kan man ikke bare få svar på, hvem det er, der skal fyres? Vi
har lige fået at vide, at det ikke er pædagogerne, det er ikke lærerne,
det er ikke politifolkene, det er ikke nogen i forsvaret, det er ikke no‐
gen i sundhedsvæsenet. Hvem er det, der skal fyres i den offentlige
sektor, når Venstre ønsker at indføre et eksperiment, der hedder nul‐
vækst, som vi aldrig har haft i Danmark tidligere? Hvem er det, der
skal fyres i den offentlige sektor? Vi andre kan jo kun gætte, når vi
ikke kan få svar fra hr. Lars Løkke Rasmussen.";Helle Thorning-Schmidt
25715;Time;"Formanden:
Hr. Lars Løkke Rasmussen.

5";Kl. 13:16
25782;name_party;":
Der er 256 færre ansatte i politiet i dag, end der var, da statsministe‐
ren blev statsminister, og jeg prøver bare på at finde ud af, hvad der
egentlig er vigtigt for regeringen, for det er jo et spørgsmål om at
prioritere. Sammen har vi jo sat selskabsskatten ned og brugt penge
på det, sammen har vi sat topskatten med og brugt penge på det,
sammen har vi lavet to vækstaftaler og brugt penge på det, og jeg har
været glad for det. Men det må jo smerte den statsminister, som sy‐
nes, at alting skal måles i offentligt ansatte, og som altså på område
efter område har leveret færre af slagsen og 256 færre ansatte i poli‐
tiet. Lad os rykke til et andet område, nemlig hele det sociale områ‐
de, de folk, der arbejder med social beskyttelse, altså SOSU-assi‐
stenter, pædagoger, og se, hvordan det samlede tal er dér. Er der fær‐
re eller flere på det område? Kan statsministeren oplyse mig om det?";Lars Løkke Rasmussen
26695;Time;"Formanden:
Statsministeren.";Kl. 13:17
26734;Time;;Kl. 13:17
26776;title_name;":
Det er fuldstændig rigtigt, at vores regeringsførelse ikke kan sam‐
menlignes med hr. Lars Løkke Rasmussens regeringsførelse, hvor
man ikke havde styr på økonomien, og hvor man ganske enkelt år
for år brugte flere penge, end man havde afsat. Det kan man ikke
sammenligne. For nu er der kommet styr på økonomien, og det nye i
dansk økonomi er, at vi overholder budgetterne. Så jeg må lige for‐
stå hr. Lars Løkke Rasmussen rigtigt: Skal der ansættes flere menne‐
sker i den offentlige sektor fremadrettet? Ligger det i de økonomiske
planer fra Venstres side? Og igen er vi jo nødt til at gætte, for der
ligger ingen plan fra Venstre. Vi er nu tilbage ved den diskussion, vi
har haft rigtig mange gange, og budskabet er jo egentlig ganske en‐
kelt. For det første har regeringen jo ført en økonomisk politik, hvor
vi har haft styr på tingene, og hvor budgetterne holder. For det andet
har vi også sikret, at det offentlige forbrug er vokset med 10 mia. kr.
siden 2011; det er jo noget, som Venstre ikke kunne have gjort, hvis
de havde haft nulvækst i den periode, vi snakker om her. For det
tredje kunne de her diskussioner jo undgås, hvis Venstre bare ville
lægge en økonomisk plan frem. Vi andre er nødt til at gætte på,
hvem der skal fyres i den offentlige sektor. For én ting er sikkert:
Nulvækst betyder fyringer.";Helle Thorning-Schmidt
28104;Time;"Formanden:
Sidste runde til hr. Lars Løkke Rasmussen.";Kl. 13:18
28169;Time;;Kl. 13:18
